Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,Sector,02_Government Sector,2018,828,,NZ Dollars (millions),1 and 2 and 3 and 12,8
_01_Total_RD_Expenditure,Sector,02_Government Sector,2019,...,,NZ Dollars (millions),1 and 2 and 3 and 12,...
_01_Total_RD_Expenditure,Sector,02_Government Sector,2020,802,R,NZ Dollars (millions),1 and 2 and 3 and 12,3.1
_01_Total_RD_Expenditure,Sector,02_Government Sector,2021,...,,NZ Dollars (millions),1 and 2 and 3 and 12,...
_01_Total_RD_Expenditure,Sector,02_Government Sector,2022,900,,NZ Dollars (millions),1 and 2 and 3 and 12,2.3
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2016,877,,NZ Dollars (millions),1 and 2 and 3 and 12,0
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2018,960,,NZ Dollars (millions),1 and 2 and 3 and 12,0
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2019,...,,NZ Dollars (millions),1 and 2 and 3 and 12,...
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2020,1202,R,NZ Dollars (millions),1 and 2 and 3 and 12,0
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2021,...,,NZ Dollars (millions),1 and 2 and 3 and 12,...
_01_Total_RD_Expenditure,Sector,03_Higher Education Sector,2022,1254,P,NZ Dollars (millions),1 and 2 and 3 and 12,0
_01_Total_RD_Expenditure,Size,01_Zero employees,2016,45,,NZ Dollars (millions),5 and 12,40
_01_Total_RD_Expenditure,Size,01_Zero employees,2018,161,,NZ Dollars (millions),5 and 12,55.7
_01_Total_RD_Expenditure,Size,01_Zero employees,2019,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,01_Zero employees,2020,174,,NZ Dollars (millions),5 and 12,40.9
_01_Total_RD_Expenditure,Size,01_Zero employees,2021,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,01_Zero employees,2022,166,P,NZ Dollars (millions),5 and 12,28.5
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2016,145,,NZ Dollars (millions),5 and 12,18.1
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2018,206,,NZ Dollars (millions),5 and 12,11.6
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2019,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2020,270,,NZ Dollars (millions),5 and 12,6.7
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2021,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2022,260,P,NZ Dollars (millions),5 and 12,10.4
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2016,150,,NZ Dollars (millions),5 and 12,12.1
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2018,149,,NZ Dollars (millions),5 and 12,16.2
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2019,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2020,216,,NZ Dollars (millions),5 and 12,13
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2021,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2022,285,P,NZ Dollars (millions),5 and 12,10.6
_01_Total_RD_Expenditure,Size,04_20 to 49 employees,2016,193,,NZ Dollars (millions),5 and 12,18.5
_01_Total_RD_Expenditure,Size,04_20 to 49 employees,2018,246,,NZ Dollars (millions),5 and 12,13.4
_01_Total_RD_Expenditure,Size,04_20 to 49 employees,2019,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,04_20 to 49 employees,2020,324,,NZ Dollars (millions),5 and 12,10.3
_01_Total_RD_Expenditure,Size,04_20 to 49 employees,2021,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,04_20 to 49 employees,2022,436,P,NZ Dollars (millions),5 and 12,10.8
_01_Total_RD_Expenditure,Size,05_50 to 99 employees,2016,217,,NZ Dollars (millions),5 and 12,12.7
_01_Total_RD_Expenditure,Size,05_50 to 99 employees,2018,251,,NZ Dollars (millions),5 and 12,17.2
_01_Total_RD_Expenditure,Size,05_50 to 99 employees,2019,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,05_50 to 99 employees,2020,347,,NZ Dollars (millions),5 and 12,15.6
_01_Total_RD_Expenditure,Size,05_50 to 99 employees,2021,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,05_50 to 99 employees,2022,355,P,NZ Dollars (millions),5 and 12,16.9
_01_Total_RD_Expenditure,Size,06_100 or more employees,2016,2386,,NZ Dollars (millions),5 and 12,3
_01_Total_RD_Expenditure,Size,06_100 or more employees,2018,2910,,NZ Dollars (millions),5 and 12,7.5
_01_Total_RD_Expenditure,Size,06_100 or more employees,2019,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,06_100 or more employees,2020,3381,R,NZ Dollars (millions),5 and 12,3.4
_01_Total_RD_Expenditure,Size,06_100 or more employees,2021,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,06_100 or more employees,2022,3744,P,NZ Dollars (millions),5 and 12,3.5
_01_Total_RD_Expenditure,Total,Total,2016,3136,,NZ Dollars (millions),12,3.3
_01_Total_RD_Expenditure,Total,Total,2018,3922,,NZ Dollars (millions),12,6.7
_01_Total_RD_Expenditure,Total,Total,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,Total,Total,2020,4713,R,NZ Dollars (millions),12,3.5
_01_Total_RD_Expenditure,Total,Total,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,Total,Total,2022,5247,P,NZ Dollars (millions),12,3.6
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,29,,NZ Dollars (millions),12 and 28,24.9
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,41,,NZ Dollars (millions),12 and 28,52.3
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2020,38,,NZ Dollars (millions),12 and 28,23.6
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2021,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2022,35,P,NZ Dollars (millions),12 and 28,45.6
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,B_Mining,2016,2,,NZ Dollars (millions),3 and 12 and 28,45.2
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,B_Mining,2018,9,,NZ Dollars (millions),3 and 12 and 28,192.3
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,B_Mining,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,B_Mining,2020,C,,NZ Dollars (millions),3 and 12 and 28,C
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,B_Mining,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,B_Mining,2022,C,P,NZ Dollars (millions),3 and 12 and 28,C
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,C_Manufacturing,2016,379,,NZ Dollars (millions),12 and 28,8.2
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,C_Manufacturing,2018,370,,NZ Dollars (millions),12 and 28,9.5
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,C_Manufacturing,2019,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,C_Manufacturing,2020,485,,NZ Dollars (millions),12 and 28,9.9
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,C_Manufacturing,2021,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,C_Manufacturing,2022,455,P,NZ Dollars (millions),12 and 28,6.9
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,2,,NZ Dollars (millions),3 and 12 and 28,126.3
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,2,,NZ Dollars (millions),3 and 12 and 28,68.6
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2020,13,,NZ Dollars (millions),3 and 12 and 28,42.7
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2022,17,P,NZ Dollars (millions),3 and 12 and 28,73.8
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,E_Construction,2016,4,,NZ Dollars (millions),12 and 28,102.5
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,E_Construction,2018,8,,NZ Dollars (millions),12 and 28,49.9
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,E_Construction,2019,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,E_Construction,2020,12,,NZ Dollars (millions),12 and 28,47.3
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,E_Construction,2021,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,E_Construction,2022,C,P,NZ Dollars (millions),12 and 28,C
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,F_Wholesale Trade,2016,59,,NZ Dollars (millions),12 and 28,12.4
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,F_Wholesale Trade,2018,80,,NZ Dollars (millions),12 and 28,29.9
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,F_Wholesale Trade,2019,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,F_Wholesale Trade,2020,88,,NZ Dollars (millions),12 and 28,19.4
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,F_Wholesale Trade,2021,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,F_Wholesale Trade,2022,109,P,NZ Dollars (millions),12 and 28,13.7
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,17,,NZ Dollars (millions),3 and 12 and 28,44.5
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,41,,NZ Dollars (millions),12 and 28,38.8
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,J_Information Media and Telecommunications,2019,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,J_Information Media and Telecommunications,2020,51,,NZ Dollars (millions),12 and 28,32.4
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,J_Information Media and Telecommunications,2021,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,J_Information Media and Telecommunications,2022,102,P,NZ Dollars (millions),12 and 28,21.9
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,K_Financial and Insurance Services,2016,28,,NZ Dollars (millions),3 and 12 and 28,47.9
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,39,,NZ Dollars (millions),12 and 28,67.3
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,K_Financial and Insurance Services,2020,53,,NZ Dollars (millions),12 and 28,58.5
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,K_Financial and Insurance Services,2021,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,K_Financial and Insurance Services,2022,82,P,NZ Dollars (millions),12 and 28,46.3
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,2,,NZ Dollars (millions),3 and 12 and 28,62.1
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2018,20,,NZ Dollars (millions),12 and 28,154.1
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2019,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2020,C,,NZ Dollars (millions),12 and 28,C
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2021,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2022,20,P,NZ Dollars (millions),12 and 28,39.5
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2016,593,,NZ Dollars (millions),12 and 28,7.2
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2018,798,,NZ Dollars (millions),12 and 28,13.6
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2019,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2020,964,R,NZ Dollars (millions),12 and 28,5.3
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2021,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,1359,P,NZ Dollars (millions),12 and 28,8
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,N_Administrative and Support Services,2016,8,,NZ Dollars (millions),3 and 12 and 28,30.6
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,N_Administrative and Support Services,2018,13,,NZ Dollars (millions),12 and 28,55.7
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,N_Administrative and Support Services,2019,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,N_Administrative and Support Services,2020,15,,NZ Dollars (millions),12 and 28,33.7
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,N_Administrative and Support Services,2021,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,N_Administrative and Support Services,2022,14,P,NZ Dollars (millions),12 and 28,59.5
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,O_Public Administration and Safety,2016,15,,NZ Dollars (millions),3 and 12 and 28,33.7
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,O_Public Administration and Safety,2018,23,,NZ Dollars (millions),3 and 12 and 28,70.9
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,O_Public Administration and Safety,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,O_Public Administration and Safety,2020,16,,NZ Dollars (millions),3 and 12 and 28,53.7
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,O_Public Administration and Safety,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,O_Public Administration and Safety,2022,28,P,NZ Dollars (millions),3 and 12 and 28,40.2
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,P_Education and Training,2016,489,,NZ Dollars (millions),3 and 12 and 28,0
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,P_Education and Training,2018,516,,NZ Dollars (millions),3 and 12 and 28,0
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,P_Education and Training,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,P_Education and Training,2020,620,R,NZ Dollars (millions),3 and 12 and 28,0
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,P_Education and Training,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,P_Education and Training,2022,697,P,NZ Dollars (millions),3 and 12 and 28,0
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2016,21,,NZ Dollars (millions),12 and 28,84.1
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2018,23,,NZ Dollars (millions),12 and 28,32.8
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2020,33,,NZ Dollars (millions),12 and 28,28
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2021,...,,NZ Dollars (millions),12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2022,28,P,NZ Dollars (millions),12 and 28,25.4
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,R_Arts and Recreation Services,2016,27,,NZ Dollars (millions),3 and 12 and 28,160.9
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,R_Arts and Recreation Services,2018,3,,NZ Dollars (millions),3 and 12 and 28,42.7
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,R_Arts and Recreation Services,2019,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,R_Arts and Recreation Services,2020,24,,NZ Dollars (millions),3 and 12 and 28,6.7
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,R_Arts and Recreation Services,2021,...,,NZ Dollars (millions),3 and 12 and 28,...
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,R_Arts and Recreation Services,2022,19,P,NZ Dollars (millions),3 and 12 and 28,8.8
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,S_Other Services,2016,3,,NZ Dollars (millions),3 and 12 and 28,62
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,S_Other Services,2018,15,,NZ Dollars (millions),3 and 12 and 28,142.9
